      step              pe              ke           total               T               P
         0   -0.214235E+03    0.945000E+01   -0.204785E+03    0.100000E+00   -0.949235E-01
         1   -0.214231E+03    0.944559E+01   -0.204785E+03    0.999533E-01   -0.151880E+00
         2   -0.214218E+03    0.943238E+01   -0.204786E+03    0.998136E-01   -0.208674E+00
         3   -0.214197E+03    0.941042E+01   -0.204786E+03    0.995811E-01   -0.265273E+00
         4   -0.214167E+03    0.937977E+01   -0.204787E+03    0.992568E-01   -0.321643E+00
         5   -0.214129E+03    0.934052E+01   -0.204789E+03    0.988415E-01   -0.377751E+00
         6   -0.214083E+03    0.929280E+01   -0.204790E+03    0.983365E-01   -0.433567E+00
         7   -0.214029E+03    0.923674E+01   -0.204792E+03    0.977433E-01   -0.489057E+00
         8   -0.213967E+03    0.917251E+01   -0.204794E+03    0.970636E-01   -0.544190E+00
         9   -0.213897E+03    0.910028E+01   -0.204796E+03    0.962993E-01   -0.594641E+00
        10   -0.213819E+03    0.902027E+01   -0.204799E+03    0.954526E-01   -0.648504E+00
        11   -0.213735E+03    0.893269E+01   -0.204802E+03    0.945258E-01   -0.701923E+00
        12   -0.213643E+03    0.883780E+01   -0.204805E+03    0.935216E-01   -0.754867E+00
        13   -0.213545E+03    0.873585E+01   -0.204809E+03    0.924429E-01   -0.807308E+00
        14   -0.213439E+03    0.862714E+01   -0.204812E+03    0.912925E-01   -0.859216E+00
        15   -0.213328E+03    0.851197E+01   -0.204816E+03    0.900738E-01   -0.910563E+00
        16   -0.213211E+03    0.839066E+01   -0.204820E+03    0.887900E-01   -0.961319E+00
        17   -0.213088E+03    0.826354E+01   -0.204825E+03    0.874449E-01   -0.101146E+01
        18   -0.212960E+03    0.813097E+01   -0.204829E+03    0.860420E-01   -0.106095E+01
        19   -0.212827E+03    0.799330E+01   -0.204834E+03    0.845852E-01   -0.110723E+01
        20   -0.212690E+03    0.785094E+01   -0.204839E+03    0.830787E-01   -0.114954E+01
        21   -0.212548E+03    0.770425E+01   -0.204844E+03    0.815265E-01   -0.119657E+01
        22   -0.212403E+03    0.755365E+01   -0.204849E+03    0.799329E-01   -0.124285E+01
        23   -0.212255E+03    0.739956E+01   -0.204855E+03    0.783022E-01   -0.128836E+01
        24   -0.212103E+03    0.724239E+01   -0.204861E+03    0.766391E-01   -0.132027E+01
