      step              pe              ke             nhc           total               T               P
         0   -0.214235E+03    0.960000E+01    0.000000E+00   -0.204635E+03    0.100000E+00   -0.949235E-01
         1   -0.214231E+03    0.959163E+01    0.302181E+00   -0.204337E+03    0.999128E-01   -0.152110E+00
         2   -0.214219E+03    0.957503E+01    0.308313E+00   -0.204335E+03    0.997399E-01   -0.209117E+00
         3   -0.214199E+03    0.955014E+01    0.316485E+00   -0.204332E+03    0.994806E-01   -0.265908E+00
         4   -0.214171E+03    0.951704E+01    0.324626E+00   -0.204329E+03    0.991359E-01   -0.322448E+00
         5   -0.214135E+03    0.947582E+01    0.332729E+00   -0.204326E+03    0.987064E-01   -0.378702E+00
         6   -0.214091E+03    0.942657E+01    0.340786E+00   -0.204323E+03    0.981935E-01   -0.434635E+00
         7   -0.214039E+03    0.936945E+01    0.348789E+00   -0.204321E+03    0.975984E-01   -0.490213E+00
         8   -0.213980E+03    0.930459E+01    0.356728E+00   -0.204319E+03    0.969229E-01   -0.545402E+00
         9   -0.213914E+03    0.923219E+01    0.364595E+00   -0.204317E+03    0.961686E-01   -0.600168E+00
        10   -0.213841E+03    0.915243E+01    0.372382E+00   -0.204316E+03    0.953378E-01   -0.654782E+00
        11   -0.213760E+03    0.906553E+01    0.380080E+00   -0.204315E+03    0.944326E-01   -0.708632E+00
        12   -0.213673E+03    0.897173E+01    0.387680E+00   -0.204314E+03    0.934556E-01   -0.761959E+00
        13   -0.213580E+03    0.887129E+01    0.395175E+00   -0.204313E+03    0.924093E-01   -0.814733E+00
        14   -0.213480E+03    0.876447E+01    0.402555E+00   -0.204313E+03    0.912966E-01   -0.866922E+00
        15   -0.213374E+03    0.865158E+01    0.409812E+00   -0.204313E+03    0.901206E-01   -0.904928E+00
        16   -0.213263E+03    0.853292E+01    0.416939E+00   -0.204313E+03    0.888845E-01   -0.954996E+00
        17   -0.213146E+03    0.840881E+01    0.423928E+00   -0.204314E+03    0.875917E-01   -0.101121E+01
        18   -0.213025E+03    0.827959E+01    0.430772E+00   -0.204315E+03    0.862457E-01   -0.105914E+01
        19   -0.212899E+03    0.814562E+01    0.437463E+00   -0.204316E+03    0.848502E-01   -0.110740E+01
